names,orig_lang,budget_x,revenue,country,number_of_oscar_winners,main_genre,release_month,release_year
Super Mario Bros.,English,42000000,20844907,AU,0,Action,06,1993
Transfusion,English,104580000,260353036.4,AU,0,Crime,01,2023
Jurassic World Dominion,English,165000000,1001978080,AU,0,Adventure,06,2022
The Boss Baby: Christmas Bonus,English,51000000,455134472.8,US,0,Animation,12,2022
Shazam!,English,85000000,363563907,AU,0,Action,04,2019
El último hombre sobre la Tierra,"Spanish, Castilian",100000000,246367071,CO,0,Comedy,12,2022
All Quiet on the Western Front,German,20000000,326479707.4,AU,0,Drama,10,2022
Violent Night,English,20000000,76599607,AU,0,Action,12,2022
Scream,English,24000000,138874789,AU,0,Horror,01,2022
Scream,English,15000000,173046640,AU,0,Horror,01,2022
Devotion,English,90000000,20000000,AU,0,War,01,2023
The Woman King,English,50000000,94374749,AU,0,Action,10,2022
Evil Dead Rise,English,132500000,469254456.2,AU,0,Horror,04,2023
Perfect Addiction,English,79800000,387664307.6,DE,0,Drama,02,2023
Project Gemini,English,134000000,308786595.8,RU,0,Science Fiction,01,2022
Doctor Strange in the Multiverse of Madness,English,200000000,952224986,AU,0,Fantasy,05,2022
There Are No Saints,English,136400000,194565354,AU,0,Action,07,2022
Avengers: Infinity War,English,300000000,2048359754,AU,0,Adventure,04,2018
Smile,English,17000000,216049734,AU,0,Horror,09,2022
¡Que Viva México!,"Spanish, Castilian",100100000,947468745.8,MX,0,Comedy,03,2023
Detective Knight: Independence,English,134200000,772865923.6,US,0,Action,01,2023
Strange World,English,135000000,69566884,AU,0,Animation,11,2022
The Ten Commandments,English,13500000,85433929,AU,2,Drama,12,1958
The Ten Commandments,English,10000000,1051907,AU,2,Drama,12,1958
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,Japanese,129000000,645532173.4,JP,0,Action,03,2019
Four's a Crowd,"Spanish, Castilian",110000000,271669045.6,ES,0,Comedy,10,2022
Minions: The Rise of Gru,English,80000000,939200081,AU,0,Animation,07,2022
Creed II,English,50000000,213591522,AU,0,Drama,12,2018
Creed,English,37000000,173567581,AU,0,Drama,11,2015
Beast,English,36000000,59103794,AU,0,Thriller,08,2022
Fast X,English,340000000,0,US,0,Action,05,2023
My Name Is Vendetta,Italian,113000000,365992130.6,AU,0,Action,11,2022
Wrath of Man,English,40000000,103913405,AU,0,Action,04,2021
Jeepers Creepers: Reborn,English,5000000,5954938,AU,0,Horror,09,2022
Turning Red,English,175000000,10964971,AU,0,Animation,03,2022
Encanto,English,150000000,231120602,AU,0,Animation,11,2021
Prancer: A Christmas Tale,English,86800000,284184080,US,0,Family,11,2022
Magic Mike's Last Dance,English,45000000,52000000,AU,0,Comedy,02,2023
"Lyle, Lyle, Crocodile",English,50000000,107644101,AU,0,Comedy,12,2022
The Penitent Thief,English,15160689,23800,AU,0,Drama,02,2021
Hacksaw Ridge,English,40000000,169023926,AU,0,Drama,10,2016
Venus,"Spanish, Castilian",6000000,7818479,ES,0,Drama,12,2022
The Offering,English,103600000,134150172.6,US,0,Horror,09,2022
Jujutsu Kaisen 0,Japanese,21835777,195870885,AU,0,Animation,03,2022
The Batman,English,200000000,766326717,AU,0,Crime,03,2022
Life in a Year,English,90000000,627851111.8,US,0,Drama,11,2020
Super Mario Brothers: Great Mission to Rescue Princess Peach,Japanese,151600000,675230189,JP,0,Animation,07,1986
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",English,180000000,745013115,AU,0,Adventure,12,2005
The Exorcism of God,English,1500000,123516163.2,AU,0,Horror,07,2022
Ghosts of the Ozarks,English,113000000,548624602.6,US,0,Western,02,2022
Kompromat,French,155140000,302915354,AU,0,Thriller,12,2022
Matadero,"Spanish, Castilian",73800000,346352260.6,ES,0,Drama,12,2022
Air,English,28519270.6,5000000,AU,0,Drama,04,2023
Disenchanted,English,142600000,524597714.8,AU,0,Comedy,11,2022
Luck,English,147000000,721203091.4,AU,1,Animation,08,2022
Bullet Train,English,85900000,238534963,AU,1,Action,08,2022
Night at the Museum: Kahmunrah Rises Again,English,124400000,508761361.2,US,0,Animation,12,2022
Blade of the 47 Ronin,English,131000000,431341845.4,AU,0,Action,10,2022
Sing 2,English,85000000,404655351,AU,2,Animation,12,2021
Shark Bait,English,106000000,591557010.2,GB,0,Horror,06,2022
Shrek,English,50000000,491812794,AU,0,Animation,06,2001
Orgasm Inc: The Story of OneTaste,English,77400000,431611098,US,0,Documentary,11,2022
In His Shadow,French,133000000,407446362.4,FR,0,Drama,03,2023
Savage Salvation,English,85645,244880855.2,US,1,Thriller,12,2022
Sisu,Finnish,6200000,58748957.6,FI,0,War,01,2023
"Tango, Tequila and Some Lies","Spanish, Castilian",105800000,667037174.8,MX,0,Comedy,03,2023
Hotel Transylvania: Transformania,English,116000000,557205138.2,AU,0,Animation,01,2022
Operation Fortune: Ruse de Guerre,English,50000000,35800000,AU,0,Action,01,2023
Kids vs. Aliens,English,143200000,514828593.6,US,0,Science Fiction,01,2023
Everything Everywhere All at Once,English,25000000,114900000,AU,0,Action,04,2022
Glass Onion: A Knives Out Mystery,English,40000000,13280000,AU,0,Comedy,11,2022
Suro,"Catalan, Valencian",80000000,522029092.4,ES,0,Thriller,12,2022
The Lair,English,118200000,307351568.6,GB,0,Horror,08,2022
My Hero Academia: World Heroes' Mission,Japanese,27164600,38410729,AU,0,Animation,10,2021
Unhappily Ever After,"Spanish, Castilian",149000000,1109873157.4,MX,0,Comedy,01,2023
Evil Eye,"Spanish, Castilian",1704500,223147806.6,MX,0,Horror,09,2022
Inspector Sun and the Curse of the Black Widow,"Spanish, Castilian",98140000,494358731.6,ES,0,Animation,12,2022
The Price We Pay,English,126800000,985255868.8,US,0,Action,01,2023
Lupin The 3rd vs. Cat’s Eye,Japanese,89600000,367393887.6,AU,0,Animation,01,2023
Murder Mystery,English,24000000,205809600.8,AU,0,Comedy,05,2019
Luz Mala,"Spanish, Castilian",87600000,817860943.8,AR,0,Horror,11,2022
Babylon,English,110000000,63262638,AU,0,Drama,01,2023
The Lost City,English,74000000,182921990,AU,1,Action,03,2022
The Lost City,English,9600000,5256839,AU,1,Action,03,2022
Detective Knight: Rogue,English,50000000,725034225.6,US,0,Action,10,2022
Cop Secret,Icelandic,58100000,651717830,IS,0,Comedy,10,2021
The Quintessential Quintuplets Movie,Japanese,2937023.8,17288993,AU,0,Animation,12,2022
Harry Potter and the Chamber of Secrets,English,100000000,874954530,AU,0,Adventure,11,2002
Kill Boksoon,Korean,119100000,763309047,KR,0,Action,03,2023
Candy Land,English,54060000,492646395.4,US,0,Horror,01,2023
Venom: Let There Be Carnage,English,110000000,506863592,AU,0,Science Fiction,11,2021
Harry Potter and the Philosopher's Stone,English,125000000,976475550,AU,1,Adventure,11,2001
On the Count of Three,English,101600000,354385756.2,AU,0,Comedy,09,2022
Uncharted,English,120000000,400689914,AU,0,Action,02,2022
DC League of Super-Pets,English,90000000,203000000,AU,0,Animation,09,2022
Moonfall,English,150000000,59053195,AU,1,Science Fiction,02,2022
Athena,French,75500000,509726081,FR,0,Drama,09,2022
Unicorn Wars,"Spanish, Castilian",50610000,27833,ES,0,Action,10,2022
Teen Wolf: The Movie,English,150400000,327346026.2,AU,0,Action,01,2023
Fantastic Beasts: The Secrets of Dumbledore,English,200000000,404560145,AU,1,Fantasy,04,2022
Cars 3,English,175000000,383541369,AU,0,Animation,06,2017
The Ledge,English,2500000,249984799.4,US,0,Thriller,02,2022
The Big 4,Indonesian,98840000,339023160.4,ID,0,Action,12,2022
Interstellar,English,165000000,648082655,AU,3,Adventure,11,2014
Viking Wolf,Norwegian,139000000,405888913.2,AU,0,Horror,02,2023
20th Century Girl,Korean,119,77132590.4,KR,0,Romance,10,2022
The Soccer Football Movie,English,79000000,798590398.8,US,0,Animation,11,2022
Boston Strangler,English,117000000,521124690.4,AU,0,Thriller,03,2023
Close,French,26523270.6,3129968,AU,0,Drama,02,2023
Coraline,English,60000000,126037057,AU,0,Animation,08,2009
Luther: The Fallen Sun,English,111400000,513441742.2,AU,0,Thriller,03,2023
Harry Potter and the Goblet of Fire,English,150000000,886742787,AU,0,Adventure,12,2005
Piggy,"Spanish, Castilian",2400000,380512,ES,0,Thriller,10,2022
Orphan: First Kill,English,51489867,9572765,AU,0,Horror,09,2022
Fullmetal Alchemist: The Final Alchemy,Japanese,133200000,514445172.4,JP,0,Action,06,2022
Malcriados,"Spanish, Castilian",116600000,586907459,MX,0,Comedy,02,2023
Polar,"Spanish, Castilian",118000000,325759805.4,ES,0,Action,10,2022
Jesus,English,179800000,600820848.4,US,0,Drama,10,1979
Harry Potter and the Half-Blood Prince,English,250000000,929411069,AU,1,Adventure,07,2009
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,Japanese,138000000,337725907.8,JP,0,Animation,09,2022
Noise,"Dutch, Flemish",147200000,1052163302.4,US,0,Drama,03,2023
The Infernal Machine,English,88200000,367763875.4,US,0,Thriller,09,2022
Abandoned,English,97760000,384573450.8,US,0,Horror,06,2022
The Ten Commandments: The Movie,Portuguese,39307171,37070177,BR,0,Drama,01,2016
The Avengers,English,225000000,1515100211,AU,0,Science Fiction,04,2012
The Avengers,English,60000000,48585416,AU,0,Science Fiction,04,2012
Still Time,Italian,138000000,405994737.6,IT,0,Romance,10,2022
Exodus: Gods and Kings,English,140000000,268314513,AU,1,Adventure,12,2014
Wolf Hound,English,142000000,491960363.2,AU,0,War,09,2022
The Little Mermaid,English,205000000,178359863,US,0,Adventure,05,2023
F9,English,200000000,726229501,AU,0,Action,06,2021
The Wolf of Wall Street,English,100000000,389816136,AU,2,Crime,01,2014
Pinball: The Man Who Saved the Game,English,146000000,469006626.2,US,0,Comedy,03,2023
"Tad, the Lost Explorer and the Emerald Tablet","Spanish, Castilian",119200000,379074781.8,AU,0,Animation,12,2022
Brothers,English,26000000,45043870,AU,1,Drama,03,2010
Brothers,English,13000000,17856688,AU,1,Drama,03,2010
Harry Potter and the Prisoner of Azkaban,English,130000000,789592708,AU,1,Adventure,06,2004
Out of the Blue,English,4600000,731767,AU,0,Thriller,10,2022
RRR,Telugu,69000000,160000000,AU,0,Action,03,2022
Broker,Korean,28648000,18632208,AU,0,Drama,03,2023
The Black Phone,English,17000000,161440742,AU,0,Horror,06,2022
Tom and Jerry Snowman's Land,English,57440000,689333138,US,0,Family,11,2022
Transformers: Rise of the Beasts,English,200000000,1240261.6,US,0,Action,06,2023
Avengers: Endgame,English,400000000,2794731755,AU,0,Adventure,04,2019
Spider-Man: Across the Spider-Verse,English,264940000,175269998.8,US,0,Animation,06,2023
MexZombies,"Spanish, Castilian",74400000,486333316,US,0,Horror,10,2022
Harry Potter and the Order of the Phoenix,English,150000000,939619849,AU,0,Adventure,07,2007
The Northman,English,70000000,69633110,AU,1,Action,04,2022
I Believe,English,127600000,683545513.4,US,0,Family,11,2017
Blue's Big City Adventure,English,132000000,352601141.6,AU,0,Family,11,2022
After Ever Happy,English,24220050,12467270,AU,0,Romance,09,2022
On the Line,English,10000000,16222303,AU,0,Thriller,11,2022
Ben-Hur,English,95000000,91669648,AU,1,Action,05,1960
Ben-Hur,English,15000000,73259017,AU,1,Action,05,1960
The Next 365 Days,Polish,111600000,534358853.4,US,0,Romance,08,2022
Hocus Pocus 2,English,40000000,0,AU,0,Fantasy,09,2022
Morbius,English,75000000,162759437,AU,0,Action,03,2022
Cars 2,English,200000000,560155383,AU,0,Animation,06,2011
Tangled,English,260000000,583777242,AU,0,Animation,01,2011
The Minute You Wake Up Dead,English,170000000,351483918,AU,0,Thriller,02,2023
Fifty Shades of Grey,English,40000000,570794950,AU,0,Drama,02,2015
Harry Potter and the Deathly Hallows: Part 2,English,125000000,1341511219,AU,1,Fantasy,07,2011
The Help,English,25000000,213120004,AU,1,Drama,09,2011
"Monsters, Inc.",English,115000000,560483719,AU,0,Animation,12,2001
The Ice Age Adventures of Buck Wild,English,143000000,508164908,AU,0,Animation,03,2022
Samaritan,English,100000000,380428883,US,0,Action,08,2022
Godzilla vs. Kong,English,155000000,468043852,AU,0,Action,03,2021
Paradise City,English,20000000,161597374.4,AU,0,Action,01,2023
Shang-Chi and the Legend of the Ten Rings,English,150000000,432224634,AU,1,Action,09,2021
Zack Snyder's Justice League,English,70000000,136635234.2,AU,1,Action,03,2021
Lightyear,English,200000000,218768299,AU,0,Animation,06,2022
Ritual,"Dutch, Flemish",102400000,502443287.6,BE,0,Thriller,09,2022
Love at First Kiss,"Spanish, Castilian",178400000,324436308.4,US,0,Romance,03,2023
The Last Client,Danish,149400000,426175485.2,DK,0,Thriller,06,2022
Suzume,Japanese,8224023.8,102258981,AU,0,Animation,04,2023
Pirates of the Caribbean: At World's End,English,300000000,961000000,AU,1,Adventure,05,2007
King Shakir Recycle,Turkish,87200000,387787979,TR,0,Animation,07,2022
The School for Good and Evil,English,137000000,750323829.8,AU,1,Fantasy,10,2022
Monstrous,English,6320000,138450,US,0,Horror,05,2022
Shrek 2,English,70000000,935253978,AU,1,Animation,06,2004
The Unbearable Weight of Massive Talent,English,30000000,29116320,AU,1,Action,04,2022
Fifty Shades Freed,English,55000000,371985018,AU,0,Drama,01,2018
El tirabeque,"Spanish, Castilian",15541000,38139010,ES,0,Comedy,11,2022
The Battle at Lake Changjin: Water Gate Bridge,Chinese,200000000,626203271,AU,0,War,02,2022
Spider-Man: Into the Spider-Verse,English,90000000,375540831,AU,0,Action,12,2018
Harry Potter and the Deathly Hallows: Part 1,English,250000000,954305868,AU,0,Adventure,11,2010
Emily the Criminal,English,116200000,572201947,AU,0,Crime,06,2022
Emergency Declaration,Korean,18052672,19200000,KR,0,Action,08,2022
Blood,English,107000000,297177664,US,0,Thriller,01,2023
Memory,English,63400000,11300000,AU,0,Action,07,2022
Orgasm Lecture 2,Korean,201000000,1569323843.8,KR,0,Drama,02,2020
Whisper,English,20000,211802400.4,GB,0,Horror,01,2022
The Shack,English,20000000,96860808,AU,0,Drama,04,2017
Eternals,English,200000000,401731759,AU,0,Science Fiction,11,2021
Doraemon: Nobita's Little Star Wars 2021,Japanese,109000000,590124290.8,JP,0,Animation,03,2022
Dog,English,15000000,84677678,AU,0,Drama,03,2022
The Invitation,English,1000000,354836,AU,0,Horror,08,2022
The Conjuring: The Devil Made Me Do It,English,40000000,200266441,AU,0,Horror,06,2021
3-D Sex and Zen: Extreme Ecstasy,Cantonese,3500000,10308238,HK,0,Drama,04,2011
Control,English,6400000,8902141,US,0,Science Fiction,09,2022
Mortal Kombat,English,55000000,83508259,AU,0,Action,04,2021
Mortal Kombat,English,20000000,122133227,AU,0,Action,04,2021
Pirates of the Caribbean: The Curse of the Black Pearl,English,140000000,655011224,AU,1,Adventure,09,2003
Clifford the Big Red Dog,English,64000000,78418101,AU,0,Family,12,2021
Dragon Knight,English,149000000,526557525.4,GB,0,Fantasy,03,2022
Cruella,English,200000000,233503234,AU,2,Comedy,05,2021
The Suicide Squad,English,185000000,167097737,AU,0,Action,08,2021
Drifting Home,Japanese,119000000,583004188.8,JP,0,Animation,09,2022
The Bad Guys,English,70000000,250659286,AU,0,Animation,03,2022
The Remaining,English,7270000,1169603,US,0,Thriller,09,2014
The Last: Naruto the Movie,Japanese,903852,19840000,JP,0,Action,12,2014
Pirates of the Caribbean: On Stranger Tides,English,379000000,1045713802,AU,1,Adventure,05,2011
There's Something Wrong with the Children,English,97200000,463920468,US,0,Horror,01,2023
Prom Pact,English,96200000,412160901,AU,0,Romance,03,2023
Coco,English,175000000,797660271,AU,0,Family,12,2017
The Sea Beast,English,116200000,649271677.4,AU,0,Animation,07,2022
Toy Story,English,30000000,365270951,AU,1,Animation,12,1995
The Boss Baby: Family Business,English,82000000,146281732,AU,0,Animation,11,2021
Housewife Sex Slaves: Hatano Yui,Japanese,167540000,175269998.8,JP,0,NA,01,2015
The Independent,English,80000000,522029092.4,US,0,Thriller,11,2022
Joseph,English,143260000,865531384,US,1,Drama,04,1995
Fullmetal Alchemist: The Revenge of Scar,Japanese,120400000,614097908.4,JP,0,Fantasy,05,2022
Titanic,English,200000000,2222985568,AU,2,Drama,12,1997
The Hunger Games: Mockingjay - Part 1,English,125000000,766575131,AU,2,Science Fiction,11,2014
The Autopsy of Jane Doe,English,24570496.6,5972942,AU,0,Horror,12,2016
Corrective Measures,English,105000000,354205502.2,US,0,Action,04,2022
The Jack in the Box: Awakening,English,35442225.8,195189,GB,0,Horror,01,2022
Choose or Die,English,174000000,474753914.4,GB,0,Horror,04,2022
Project Wolf Hunting,Korean,115200000,220908446.2,AU,0,Action,10,2022
Lost Bullet 2,French,122800000,377993107,FR,0,Action,11,2022
Crawlspace,English,110600000,660008190.4,US,0,Thriller,03,2022
The Good Neighbor,English,105,94909,AU,0,Thriller,09,2022
The Trapped 13: How We Survived The Thai Cave,Thai,111600000,767228967.6,TH,0,Documentary,10,2022
Groot's First Steps,English,131400000,730150001.2,US,0,Animation,08,2022
Son of God,English,22000000,70949793,US,0,Drama,02,2014
Sword Art Online the Movie -Progressive- Aria of a Starless Night,Japanese,20011197,14037060,AU,0,Animation,12,2021
Summer Ghost,Japanese,107200000,632203108.6,JP,0,Animation,11,2021
Resident Evil: Welcome to Raccoon City,English,25000000,41909091,AU,0,Horror,12,2021
Laid-Back Camp The Movie,Japanese,13187504.6,7283918,JP,0,Animation,07,2022
The Pale Blue Eye,English,72000000,214883443.8,AU,1,Mystery,12,2022
The Lion King,English,260000000,1647733638,AU,1,Family,08,1994
The Lion King,English,79300000,986193783,AU,1,Family,08,1994
Avengers: Age of Ultron,English,365000000,1395316979,AU,0,Action,04,2015
Me Before You,English,20000000,208064908,AU,0,Drama,06,2016
Luca,English,200000000,49750471,AU,0,Animation,06,2021
Pirates of the Caribbean: Dead Man's Chest,English,200000000,1065659812,AU,0,Adventure,07,2006
The Menu,English,30000000,73040804,AU,0,Horror,11,2022
Ice Age,English,65000000,386116343,AU,0,Animation,03,2002
Eureka: Eureka Seven Hi-Evolution,Japanese,139600000,350558192.6,JP,0,Animation,11,2021
The Little Mermaid,English,40000000,211343479,AU,0,Animation,07,1990
Shrek Forever After,English,165000000,756244673,AU,1,Comedy,07,2010
Ghostbusters: Afterlife,English,75000000,203614138,AU,0,Fantasy,01,2022
Sonic the Hedgehog,English,85000000,319715683,AU,0,Action,02,2020
Teasing Master Takagi-san: The Movie,Japanese,189000000,1168749675.2,JP,0,Animation,06,2022
Dragon Ball Z: Resurrection 'F',Japanese,5000000,61768190,JP,0,Action,04,2015
The Guardians of the Galaxy Holiday Special,English,97200000,641749489.4,AU,0,Comedy,11,2022
Secret Headquarters,English,143000000,420598835.4,US,0,Action,08,2022
The Princess and the Frog,English,105000000,270997378,AU,0,Romance,01,2010
365 Days: This Day,Polish,162100000,437846475.2,AU,0,Romance,04,2022
Faraway,German,52900000,368167712.6,DE,0,Romance,03,2023
Hellhole,Polish,146740000,301123555.2,PL,0,Horror,10,2022
To Kill the Beast,"Spanish, Castilian",105000000,227896979.2,BR,0,Mystery,04,2022
Zootopia,English,150000000,1002462578,AU,0,Animation,03,2016
The Book of Daniel,English,92600000,428471214.2,US,0,Fantasy,10,2013
Lesson Plan,Polish,121600000,343621307.4,AU,0,Action,11,2022
Free Guy,English,110000000,331526598,AU,0,Comedy,09,2021
Malvada,"Spanish, Castilian",88200000,429165998.8,MX,0,Comedy,12,2022
Diary of a Wimpy Kid: Rodrick Rules,English,18000000,73695194,US,0,Animation,12,2022
Iron Man 2,English,170000000,621156389,AU,1,Adventure,04,2010
The Conjuring,English,20000000,316849722,AU,0,Horror,07,2013
Fast & Furious Presents: Hobbs & Shaw,English,200000000,760732926,AU,1,Action,08,2019
The Library Boys,English,77300000,564483267.8,AU,0,Comedy,11,2022
The Maze Runner,English,34000000,348319861,AU,0,Action,09,2014
Blueback,English,178000000,528252215.4,AU,0,Drama,01,2023
The King's Man,English,100000000,125928656,AU,0,Action,01,2022
The Hobbit: The Battle of the Five Armies,English,250000000,940323039,AU,0,Action,12,2014
"Miraculous World: New York, United HeroeZ",French,134400000,662530414,FR,0,Animation,09,2020
Mary Magdalene,English,7855689,11710110,AU,0,Drama,03,2018
The Pilgrim's Progress,English,101000000,893800197.2,US,0,Animation,04,2019
Red Notice,English,150000000,173638,AU,0,Action,11,2021
Solo Somos Carne,"Spanish, Castilian",87000000,476680473.8,GT,0,Horror,10,2022
Groot Takes a Bath,English,131400000,730150001.2,US,0,Animation,08,2022
X,English,1000000,15113105,AU,0,Horror,03,2022
The Croods: A New Age,English,65000000,214790246,AU,2,Animation,04,2021
Boruto: Naruto the Movie,Japanese,24413000,39500000,JP,0,Animation,08,2015
Thor: Ragnarok,English,180000000,850482778,AU,2,Action,10,2017
Barbie,English,175000000,178359863,US,1,Comedy,07,2023
Noah,English,130000000,352831065,AU,2,Drama,03,2014
The Seven Deadly Sins: Cursed by Light,Japanese,38211149.2,1094673,JP,0,Animation,07,2021
The Girl from the Other Side,Japanese,67654097.6,629573144.8,JP,0,Animation,03,2022
Enola Holmes 2,English,93000000,394945972.8,AU,0,Mystery,11,2022
Ant-Man,English,130000000,518858449,AU,1,Science Fiction,07,2015
Scream,English,24000000,138874789,AU,0,Crime,02,1997
Scream,English,15000000,173046640,AU,0,Crime,02,1997
Frozen II,English,150000000,1437862795,AU,0,Family,12,2019
Shrek the Third,English,160000000,807330936,AU,1,Fantasy,06,2007
Ratatouille,English,150000000,626549695,AU,0,Animation,09,2007
